'si'fan 思凡
'si'jin'shi 四进士
'si'xiang'yuan 四香缘
'song'xiong 送兄
'su'po'dai'si 苏婆代死
'su'qin 素芹
'su'si'yin 苏似荫
'su'zhou'hao'feng'guang 苏州好风光
'su'zhou'ping'tan 苏州评弹
'su'zhou'tuan 苏州团
'sun'shu'ying 孙淑英
'suo'nan'zhi 锁南枝
'tai'cang'qi'an 太仓奇案
'tang'geng'liang 唐耿良
'tang'zhi'xian'shen'gao'ming 唐知县审诰命
'tao'bo'he 陶伯和
'ti'xiao'yin'yuan 啼笑因缘
'tian'bo'fu'bi'wu 天波府比武
'ting'ke 听客
'ting'tang'duo'zi 厅堂夺子
'tong'ze 痛责
'tou'shu 投书
'tuo'san'zhuang 托三桩
'wan'hua'lou 万花楼
'wang'bai'yin 王柏荫
'wang'ding 王定
'wang'jin 王瑾
'wang'kui'fu'gui'ying 王魁负桂英
'wang'lu'wei 望芦苇
'wang'ru'sun 王如荪
'wang'shi'peng 王十朋
'wang'xiao'die 王小蝶
'wang'xiao'he 王孝和
'wang'xuan 汪宣
'wang'ying 王鹰
'wang'yue'xiang 王月香
'wang'yue'xiang'diao 王月香调
'wang'zuo'duan'bi 王佐断臂
'wei'han'yu 魏含玉
'wei'tiao 魏调
'wei'zhen'bai 魏真柏
'wen'bu 问卜
'wen'hui'ming 文徽明
'wen'shu'tiao 文书调
'wen'wu'xiang'qiu 文武香球
'wen'xuan 文宣
'wen'xuan'ku'guan'yin 文宣哭观音
'wen'xuan'rong'gui 文宣荣归
'wo'pao 倭袍
'wu'di'jun 吴迪君
'wu'du'shu 五毒书
'wu'jun'yu 吴君玉
'wu'qiong'hua 无穷花
'wu'song 武松
'wu'yi'tu 五义图
'wu'ze'tian 武则天
'wu'ze'zhen'niang 误责贞娘
'wu'zhong'tuan 吴中团
'wu'zi'an 吴子安
'xi'xiang'dai'yue 西厢待月
'xi'xiang'ji 西厢记
'xia'fu'ti 下扶梯
'xia'hu 下呼
'xia'shou 下手
'xia'tiao 夏调
'xian'dai'shu 现代书
'xiang'tiao 祥调
'xiang'tiao 翔调
'xiang'xiang'tiao 香香调
'xiang'yin 乡音
'xiao'bai'cai 小白菜
'xiao'dan'gui 筱丹桂
'xiao'dan'gui'zhi'si 筱丹桂之死
'xiao'fei'e'hui'yi 小飞蛾回忆
'xiao'fei'e'zi'tan 小飞蛾自叹
'xiao'fei'tiao 小飞调
'xiao'he'yue'xia'zhui'han'xin 萧何月下追韩信
'xiao'jiu'lian'huan 小九连环
'xiao'shi'tai 小师太
'xiao'shu 小书
'xiao'xiang'jing'meng 潇湘惊梦
'xiao'xiang'ye'yu 潇湘夜雨
'xiao'yang'tiao 小阳调
'xie'lan 谢岚
'xie'yu'jia 谢宇佳
'xin'mu'lan'ci 新木兰辞
'xin'shu 新书
'xing'mu 醒木
'xing'rui'ting 邢瑞庭
'xing'yan'chun 邢晏春
'xing'yan'zhi 邢晏芝
'xu'ge'zheng'chong 絮阁争宠
'xu'gong'bu'jue'lei'wang'wang 徐公不觉泪汪汪
'xu'hui'lan 徐惠兰
'xu'hui'xin 徐惠新
'xu'li'xian 徐丽仙
'xu'lv'xia 徐绿霞
'xu'shang'zhen 徐上珍
'xu'shu'juan 徐淑娟
'xu'tian'xiang 徐天翔
'xu'tiao 徐调
'xu'xue'yue 徐雪月
'xu'yuan'zai 徐元宰
'xuan'du'qiu'yu 玄都求雨
'xuan'hui 选回
'xuan'qu 选曲
'xue'di'zi 血滴子
'xue'hui'jun 薛惠君
'xue'jun'ya 薛君亚
'xue'shan'ji 血衫记
'xue'tiao 薛调
'xue'xiao'fei'tiao 薛小飞调
'yan'chu'ben 演出本
'yan'tiao 严调
'yan'xue'ting 严雪亭
'yan'zhi'tiao 晏芝调
'yang'ba'jie'you'chun 杨八姐游春
'yang'gao 阳告
'yang'nai'wu 杨乃武
'yang'nai'wu'yu'xiao'bai'cai 杨乃武与小白菜
'yang'nai'zhen 杨乃珍
'yang'tiao 杨调
'yang'zhen'xin 杨震新
'yang'zhen'xiong 杨振雄
