'rou'si'huang'luo'bo'si 肉丝黄萝卜丝
'rou'si'luo'bo'si 肉丝萝卜丝
'rou'si'qin'cai 肉丝芹菜
'rou'si'tu'dou'si 肉丝土豆丝
'shao'rou'bai'cai'dun'dou'fu 烧肉白菜炖豆腐
'shao'rou'wan'zi'hui'cai 烧肉丸子烩菜
'shao'zhi'fei'niu 烧汁肥牛
'shi'shu'da'ban 时蔬大拌
'shou'si'niu'xin'cai 手撕牛心菜
'shuang'hong'niu'nan 双红牛腩
'shuang'kou'mu'gua'si 爽口木瓜丝
'shuang'kou'pao'cai 爽口泡菜
'shuang'kou'qin'cai 爽口芹菜
'shuang'kou'shui'luo'bo 爽口水萝卜
'shuang'kou'xi'qin 爽口西芹
'shuang'kou'xiao'bai'cai 爽口小白菜
'shui'zhu'rou 水煮肉
'shui'zhu'rou'pian 水煮肉片
'si'chuan'pao'cai 四川泡菜
'si'zi'wang'qi'men'yang'rou 四子王旗焖羊肉
'su'chao'dong'gua 素炒冬瓜
'su'chao'dou'fu 素炒豆腐
'su'chao'luo'bo'si 素炒萝卜丝
'su'chao'qie'si 素炒茄丝
'su'chao'sun'pian 素炒笋片
'su'chao'sun'si 素炒笋丝
'su'chao'tu'dou'si 素炒土豆丝
'su'chao'you'cai 素炒油菜
'su'ni'te'niu'rou'dun'huang'luo'bo 苏尼特牛肉炖黄萝卜
'su'ni'te'yang'ji'gu'dun'luo'bo 苏尼特羊脊骨炖萝卜
'su'shi'jin 素什锦
'suan'cai'cuan'bai'rou 酸菜汆白肉
'suan'huang'gua 酸黄瓜
'suan'la'hai'dai'si 酸辣海带丝
'suan'la'jue'gen'fen 酸辣蕨根粉
'suan'la'mu'er 酸辣木耳
'suan'ni'pi'dong 蒜泥皮冻
'suan'ni'xi'lan'hua 蒜泥西兰花
'suan'tang'fei'niu 酸汤肥牛
'suan'tang'fei'yang 酸汤肥羊
'suan'tang'rou'pian 酸汤肉片
'suan'xiang'yu'tou 蒜香芋头
'tie'gun'shan'yao'men'ji 铁棍山药焖鸡
'tie'guo'dun'da'e 铁锅炖大鹅
'tong'hao'ban'dou'fu 茼蒿拌豆腐
'wan'zi'tu'dou'hui'cai 丸子土豆烩菜
'wu'cai'luo'bo 五彩萝卜
'wu'cai'luo'bo'tiao 五彩萝卜条
'wu'cai'pao'cai 五彩泡菜
'wu'hua'rou'bai'cai 五花肉白菜
'wu'hua'rou'chao'bai'cai 五花肉炒白菜
'wu'hua'rou'chao'bai'cai'mu'er 五花肉炒白菜木耳
'wu'hua'rou'qin'cai 五花肉芹菜
'wu'la'te'qian'qi'bai'yan'hua'rou'gou'ji 乌拉特前旗白彦花肉勾鸡
'wu'la'te'qian'qi'tuo'rou'dun'tu'dou'luo'bo 乌拉特前旗驼肉炖土豆萝卜
'wu'lan'hua'men'yang'rou 乌兰花焖羊肉
'wu'xiang'hua'sheng'mi 五香花生米
'wu'xiang'jiang'gu'tou 五香酱骨头
'xi'hong'shi'niu'nan 西红柿牛腩
'xian'ban'yu'tou'tiao 现拌芋头条
'xiang'ban'dou'fu'si 香拌豆腐丝
'xiang'ban'fo'shou'gua 香拌佛手瓜
'xiang'ban'qiao'mian 香拌荞面
'xiang'cun'zhao'dai'fan 乡村招待饭
'xiang'gu'you'cai 香菇油菜
'xiang'la'xiao'hai'xian 香辣小海鲜
