'chun'lai'qiang'zhong'zheng'fen'miao 春来抢种争分秒
'chun'nong'chu'chu'bai'hua'xiang 春浓处处百花香
'chun'ri'dao'lai'xin'ruo'meng 春日到来信若盟
'chun'ri'xue'zai'lan 春日学栽兰
'chun'shui'lv'yang'feng'man'nuan 春水绿杨风曼暖
'ci'bie'you'ru'he 此别又如何
'ci'di'qing'chu'shi'zi'you 次第清除始自由
'ci'jian'feng'wu'yi'qing'you 此间风物亦清幽
'ci'ke'ge'shu'xiong'yi'men 词客各抒胸臆懑
'ci'sheng'an'yang'zhi 此生安仰止
'ci'shui'ci'shan'ci'di 此水此山此地
'cong'ci'lu'jiang'li'bie'di 从此泸江离别地
'cong'jin'bu'zai'ti'hong'ye 从今不再题红叶
'cong'jin'yao'zhong'jie'ban'ren 从今要重接班人
'cong'tou'wen'li'chang 从头稳立场
'cong'zheng'ping'liang'liang 从征凭两两
'cuan'dang'duo'quan'zhe 篡党夺权者
'cui'mu'xing'shan'zhong'ji'mo 毳幕腥膻终寂寞
'cui'se'ran'sheng'shi 翠色染笙诗
'da'bu'man'xian'shi 大不满现实
'da'dao'liu'he'lin 打倒刘和林
'da'di'yi'hui'chun 大地已回春
'da'hao'he'shan'yi'fan'ou 大好河山一泛鸥
'da'jia'dou'xi'huan 大家都喜欢
'da'jiang'sheng'san'san 大将剩三三
'da'jun'hao'dang 大军浩荡
'da'kuai'ren'xin'shi 大快人心事
'da'lu'long'she'qi 大陆龙蛇起
'da'lue'guan'sun'zi 大略观孙子
'da'xiong'wu'yu'bing 大雄无与并
'da'xue'ya'qing'song 大雪压青松
'da'yi'yu'pi'pao 大衣与皮袍
'da'zhang'bi'ni'hui 打仗比你会
'da'zhong'reng'jiang'hao'yi'zhao 大众仍将好意招
'da'zong'tong'yue 大总统曰
'dai'dao'xin'qiu'qi'shuang'shi 待到新秋气爽时
'dai'dao'xue'hua'shi 待到雪化时
'dai'jun'duo'hao'jie 代郡多豪杰
'dai'tao'hong'liu'lv 待桃红柳绿
'dan'feng'si'huo'zhao'qiu'shan 丹枫似火照秋山
'dan'kan'xin'hong'ri 但看新红日
'dan'qi'hao 胆气豪
'dan'sheng'gong'dang'qing'gong'nong 诞生共党庆工农
'dan'ting'wu'ye'shui 但听呜咽水
'dang'jiao'zhong'hua'zhu'mu'zhong 当教中华瞩目中
'dang'jin'yi'sheng'ren 当今一圣人
'dang'nian'zhuang'lie 当年壮烈
'dang'pai'heng'zheng 党派横争
'dang'yu'ren'min'zai'jian'du 党与人民在监督
'dao'chen'yi'tong'zhi 悼陈毅同志
'dao'chu'ban'bao'jia 到处办保甲
'dao'chu'fan'xiang'gui 到处翻箱柜
'dao'chu'qiang'liang'shi 到处抢粮食
'dao'chu'shi'sang'yuan 到处是桑园
'dao'chu'shou'juan'shui 到处收捐税
'dao'chu'xuan'chuan 到处宣传
'dao'da'wan 到大湾
'dao'luo'rong'huan'tong'zhi 悼罗荣桓同志
'dao'wang'shi'qi'shou 悼亡诗七首
'deng'die'cai'shan'zeng'xu'lao 登叠彩山赠徐老
'deng'er'ya'tai 登尔雅台
'deng'gao'bu'yong'zhang 登高不用杖
'deng'gao'huan'bu'qi'cong'rong 登高缓步气从容
'deng'huang'shan'ou'gan 登黄山偶感
'deng'lou'tiao'yue 登楼眺月
'deng'lou'za'gan 登楼杂感
'deng'xiao'ping 邓小平
'di'er'xiang'dao'dang'pei'yang 第二想到党培养
'di'hou'ji'jing'shu'si'zhan 敌后几经殊死战
