'mi'man'fang'cheng 米曼方程
'mi'shi'chang'shu 米氏常数
'mian'yi'chuan'gan'qi 免疫传感器
'mian'yi'qiu'dan'bai'zhe'die 免疫球蛋白折叠
'mian'zi'tang 棉子糖
'mu'zhi'su 木质素
'na'mi'sheng'wu'ji'shu 纳米生物技术
'nei'han'zi 内含子
'nei'zhi'wang 内质网
'nei'zhi'wang'ding'wei'xin'hao 内质网定位信号
'ni'zhuan'lu'mei 逆转录酶
'niao'an'suan'an'ji'jia'xian'zhuan'yi'mei 鸟氨酸氨基甲酰转移酶
'niao'su'xun'huan 尿素循环
'ning'meng'suan'he'mei 柠檬酸合酶
'niu'huang'suan 牛磺酸
'piao'ling'dai'xie 嘌呤代谢
'ping'guo'suan'mei 苹果酸酶
'ping'guo'suan'tuo'qing'mei 苹果酸脱氢酶
'pu'tao'tang'lin'suan'tuo'qing'mei 葡萄糖磷酸脱氢酶
'qi'dong'zi'tu'bian 启动子突变
'qi'shi'dian 起始点
'qi'shi'mi'ma'zi 起始密码子
'qi'shi'yin'zi 起始因子
'qian'dao'tai 前导肽
'qiang'fu'an'suan 羟脯氨酸
'qiang'lai'an'suan 羟赖氨酸
'qiao'lin'zhi 鞘磷脂
'qie'chu'xiu'fu'mei 切除修复酶
'qin'dian'fan'ying 亲电反应
'qin'he'fan'ying 亲核反应
'qu'bing 曲柄
'qu'dai'fan'ying 取代反应
'qu'dong'dan'bai 驱动蛋白
'qu'lin'suan'hua'mei 去磷酸化酶
'quan'suo'mei 醛缩酶
'que'shi'tu'bian 缺失突变
'ran'se'ti 染色体
'ran'se'ti'fen'li 染色体分离
'ran'se'zhi 染色质
'ran'se'zhi'chong'su 染色质重塑
're'xiu'ke'dan'bai 热休克蛋白
'rong'mei'ti 溶酶体
'rong'mei'ti'ding'wei'xin'hao 溶酶体定位信号
'rong'mei'ti'tu'jing 溶酶体途径
'rou'xing'qu'yu 柔性区域
'rou'zhi 鞣质
'ru'mi'wei'li 乳糜微粒
'ru'suan'tuo'qing'mei 乳酸脱氢酶
'ru'tang 乳糖
'san'ming'zhi'jie'gou 三明治结构
'san'suo'suan'xun'huan 三羧酸循环
'san'tai'mei 三肽酶
'se'an'suan'qiang'hua'mei 色氨酸羟化酶
'shen'shang'xian'pi'zhi'ji'su 肾上腺皮质激素
'sheng'wu'cai'liao 生物材料
'sheng'wu'chuan'gan'qi 生物传感器
'sheng'wu'fa'guang 生物发光
'sheng'wu'huo'xing 生物活性
'sheng'wu'ji'suan'ji 生物计算机
'sheng'wu'jiang'jie'xing 生物降解性
'sheng'wu'su 生物素
'sheng'wu'xiang'rong'xing 生物相容性
'sheng'wu'xin'pian 生物芯片
'sheng'wu'xin'xi'xue 生物信息学
'shi'fang'yin'zi 释放因子
'shi'huang'chun 视黄醇
'shi'huang'quan 视黄醛
'shi'huang'suan 视黄酸
'shou'xing 手型
'shuang'dao'shu'zuo'tu 双倒数作图
'shui'jie'fan'ying 水解反应
'shui'jie'mei'fu'he'wu 水解酶复合物
'shui'su'tang 水苏糖
'si'an'suan 丝氨酸
