'zhi'jie'quan 指节拳
'zhi'ling'tou 指令投
'zhi'tiao 直跳
'zhong'duan 中段
'zhong'duan'bo 中段波
'zhong'jiao 中脚
'zhong'jiao 重脚
'zhong'quan 中拳
'zhong'quan 重拳
'zhong'tui 中腿
'zhong'tui 重腿
'zhu'li 朱莉
'zhu'sha'bu 诛杀步
'zi'yuan'hui'shou 资源回收
