'an'gou 暗沟
'gai'shan'tu'ji'shi'du 改善土基湿度
'gai'shan'tu'ji'wen'du 改善土基温度
'gai'wa'fa'shi'gong 盖挖法施工
'gai'xing'li'qing'lei 改性沥青类
'gan'han'di'qu 干旱地区
'gan'huang'tu 干黄土
'gan'tu'li'zhi'liang 干土粒质量
'gang'jin 钢筋
'gang'xian'wei'hun'ning'tu 钢纤维混凝土
'gang'xing'cai'liao 刚性材料
'gang'xing'lu'mian 刚性路面
'gang'zha 钢渣
'gao'ji'li'qing'lu'mian'mian'ceng 高级沥青路面面层
'gao'wen'wen'ding'xing 高温稳定性
'gao'ya'pen'she'zhu'jiang 高压喷射注浆
'gao'ye'xian'fen'tu 高液限粉土
'gao'ye'xian'nian'tu 高液限黏土
'ge'ji'li'qing'lu'mian'ji'ceng 各级沥青路面基层
'ge'li'ceng 隔离层
'ge'li'ceng'she'zhi 隔离层设置
'ge'shui'ceng 隔水层
'ge'shui'cuo'shi 隔水措施
'ge'wen'xing'cai'liao 隔温性材料
'gei'shui'yu'wu'shui'chu'li'gong'yi 给水与污水处理工艺
'gong'cheng'an'quan 工程安全
'gong'cheng'di'zhi'jiao'du 工程地质角度
'gong'cheng'he'tong'guan'li 工程合同管理
'gong'cheng'jie'suan'guan'li 工程结算管理
'gong'cheng'jin'du'ying'xiang'yin'su'yu'ji'hua'guan'li 工程进度影响因素与计划管理
'gong'cheng'shi'gong'kun'nan 工程施工困难
'gong'cheng'shi'jian 工程实践
'gong'cheng'yong'tu'fen'lei 工程用土分类
'gong'cheng'zao'jia'guan'li 工程造价管理
'gong'cheng'zhao'biao'tou'biao 工程招标投标
'gong'cheng'zhao'biao'tou'biao'yu'he'tong'guan'li 工程招标投标与合同管理
'gong'cheng'zong'cheng'bao'xiang'guan'gui'ding 工程总承包相关规定
'gong'ye'fei'zha 工业废渣
'gou'zao'shen'du 构造深度
'gou'zhu'wu'ji'chu'wen'ding'xing 构筑物基础稳定性
'gu'ding'gou'zhu'wu 固定构筑物
'gu'jia'xing'hun'he'liao 骨架型混合料
'gu'tai 固态
'guan'dao'yu'jian'cha'jing 管道与检查井
'guan'han'he'xiang'han'shi'gong 管涵和箱涵施工
'guan'qu'she'zhi 管渠设置
'guan'wang'gai'zao'shi'gong 管网改造施工
'guan'yong 管涌
'gui'fan'gui'ding 规范规定
'gui'ge 规格
'gui'mo'shi'tan'pu'ji'shi'gong 轨模式摊铺机施工
'gui'suan'yan'shui'ni 硅酸盐水泥
'gui'tong'lei 硅酮类
'guo'du'duan 过渡段
'guo'jia'biao'zhun 国家标准
'guo'jie'zhi'guan 过街支管
'guo'shi'zhuang'tai 过湿状态
'hai'mian'cheng'shi'jian'she'gong'cheng 海绵城市建设工程
'hai'mian'cheng'shi'jian'she'shi'gong'ji'shu 海绵城市建设施工技术
'hai'sha 海砂
'hai'sha'hun'ning'tu'ying'yong'ji'shu'gui'fan 海砂混凝土应用技术规范
'han'liang 含量
'han'ni'liang 含泥量
'han'shui'lv 含水率
'han'sui'shi'luan'shi'huang'tu 含碎石卵石黄土
'han'sui'shi'luan'shi'zhong'deng'mi'shi'nian'xing'tu 含碎石卵石中等密实黏性土
'hang'ji 夯击
'hang'keng'hui'tian'pian'kuai'shi 夯坑回填片块石
'he'ge'zheng 合格证
'heng'xiang'jie'feng 横向接缝
'heng'xiang'shi'gong'feng 横向施工缝
'heng'xiang'suo'feng 横向缩缝
'hou'du 厚度
'hu'po'she'zhi 护坡设置
'hu'qiang'she'zhi 护墙设置
'hua'dong'tao 滑动套
'hua'mo'shi'tan'pu'ji'shi'gong 滑模式摊铺机施工
'hua'po 滑坡
'hua'xue'shou'duan 化学手段
'huan'jing'he'zai'zuo'yong 环境荷载作用
'huan'jing'xie'tiao 环境协调
'huan'tu'dian'ceng 换土垫层
'huang'tu 黄土
'hui'tian'sha 回填砂
'hui'tian'ya'shi 回填压实
'hui'tu 灰土
'hui'tu'dian'ceng 灰土垫层
'hui'tu'ji'mi'zhuang 灰土挤密桩
