'fan'sui'qing'he'hui 泛随清壑回
'fan'xu'shi'bi 樊须是鄙
'fang'ci'ju'bu'lie 方此讵不劣
'fang'cong'wo'you 方从我游
'fang'huan'yi'yu 放欢一遇
'fang'ju'kai'lin'yao 芳菊开林耀
'fang'yi'le'yu'nian 放意乐馀年
'fang'yu'san'chen'you 方与三辰游
'fang'zhai'shi'yu'mu 方宅十馀亩
'fang'zhou'yin'men'qian 舫舟荫门前
'fei'dao'gu'wu'you 非道故无忧
'fei'dao'he'yi 匪道曷依
'fei'gai'ru'qin'ting 飞盖入秦庭
'fei'niao'xiang'yu'huan 飞鸟相与还
'fei'shan'xi'dun 匪善奚敦
'fei'shang'fu'fei'rong 非商复非戎
'fei'wei'bu'qi'zhai 非为卜其宅
'fei'wei'xie'ye 匪惟谐也
'fen'fen'fei'niao'hai 纷纷飞鸟还
'fen'fen'shi'nv 纷纷士女
'fen'ming'wang'si'huang 分明望四荒
'fen'san'zhu'feng'zhuan 分散逐风转
'fen'yun'zhan'guo 纷纭战国
'feng'bo'zu'zhong'tu 风波阻中涂
'feng'lai'ru'fang'hu 风来入房户
'feng'niao'sui'bu'zhi 凤鸟虽不至
'feng'qi'yi'xian'han 风气亦先寒
'feng'shui'hu'guai'wei 风水互乖违
'feng'wei'zi'xiao'tiao 风为自萧条
'feng'xue'song'yu'yun 风雪送馀运
'feng'yin'yu'lin 凤隐于林
'feng'yu'zong'heng'zhi 风雨纵横至
'fu'bu'xu'zhi 福不虚至
'fu'de'fan'zi'ran 复得返自然
'fu'huo'ci'ci'nan 弗获辞此难
'fu'ji'you'shen'huai 抚己有深怀
'fu'jia'hai'jiang'ling'ye'xing'tu'kou 赴假还江陵夜行涂口
'fu'jian'du'xing'you 抚剑独行游
'fu'jian'feng'mai 抚剑风迈
'fu'ke'bu'huo'ju 负痾不获俱
'fu'ke'tui'yan'xia 负痾颓檐下
'fu'lao'za'luan'yan 父老杂乱言
'fu'liu'jiu'nian 俛六九年
'fu'qin'jin'sui'yue 服勤尽岁月
'fu'shi'po'neng'gong 赋诗颇能工
'fu'yang'zhong'yu'zhou 俯仰终宇宙
'fu'yao'jing'wu'li 扶摇竟无力
'fu'ying'zhi'li 负影只立
'fu'zhang'si'you'cong 负杖肆游从
'gan'bi'bai'xia'ren 感彼柏下人
'gan'bi'xing'lu 感彼行路
'gan'bu'lian'ren 敢不敛衽
'gan'wu'yuan'ji'shi 感物愿及时
'gan'yi'ci'hua'xuan 甘以辞华轩
'gan'zi'piao'mu'hui 感子漂母惠
'gao'cao'fei'suo'pan 高操非所攀
'gao'fei'fu'chen'liang 高飞拂尘梁
'gao'fen'hu'di'ang 高坟互低昂
'gao'fen'zheng'jiao'yao 高坟正嶕峣
'gao'feng'shi'zai'zi 高风始在兹
'gao'han'fa'xin'yao 高酣发新谣
'gao'ju'xun'wu'qi 高举寻吾契
'gao'ke'zhuo'tiao'gan 高柯擢条干
'gao'mang'miao'wu'jie 高莽眇无界
'gao'xiao'fan'jiu'ju 高啸返旧居
'ge'jing'chang'tan'xi 歌竟长叹息
'ge'yang'qian'jin'qu 各养千金躯
'ge'zi'hai'qi'jia 各自还其家
'gen'zhu'fu'cang'hai 根株浮沧海
'geng'zhi'cheng'qi'yong 耕织称其用
'geng'zhong'you'shi'xi 耕种有时息
'gong'cheng'zhe'zi'qu 功成者自去
'gong'geng'fei'suo'tan 躬耕非所叹
'gong'jing'zai'shen'hou 功竟在身后
'gong'qin'wei'ceng'ti 躬亲未曾替
'gong'sui'ci'gui 功遂辞归
'gou'de'fei'suo'qin 苟得非所钦
'gou'fei'shen'xiang'zhong 狗吠深巷中
'gu'can'hua'bin 顾惭华鬓
'gu'chou'xiang'ming 顾俦相鸣
'gu'feng'zhuan'qi'bo 谷风转凄薄
'gu'fu'wu'suo'si 鼓腹无所思
'gu'lao'zeng'yu'jiu 故老赠余酒
'gu'lv'zheng'pai'huai 顾侣正徘徊
'gu'mian'mo'shui'zhi 顾眄莫谁知
'gu'qiong'su'suo'gui 固穷夙所归
'gu'ren'shang'wo'qu 故人赏我趣
'gu'ren'xi'cun'yin 古人惜寸阴
'gu'shi'gong'ming'shi 古时功名士
'gu'wei'er'nv'you 固为儿女忧
'gu'yu'chou'lie 顾余俦列
'gu'yun'du'wu'yi 孤云独无依
'gu'zhan'wu'pi'chou 顾瞻无匹俦
'gu'zhao'lu'qi'qu 鼓棹路崎曲
'gua'wen'er'qi 呱闻尔泣
'guan'he'bu'ke'yu 关河不可逾
'guan'liang'nan'kui'ti 关梁难亏替
'guan'mu'huang'yu'zhai 灌木荒余宅
'guan'yu'fei'yi'shan 馆宇非一山
'guan'zhuo'xi'yan'xia 盥濯息檐下
'guang'qi'nan'yu'chou 光气难与俦
'gui'gui'yi'he'yu 规规一何愚
'gui'lai'liang'wei'yang 归来良未央
'gui'niao 归鸟
'gui'niao'qu'lin'ming 归鸟趣林鸣
'gui'shen'mang'mei'ran 鬼神茫昧然
'gui'yuan'tian'ju'wu'shou 归园田居五首
'gui'zi'nian'qian'tu 归子念前涂
'guo'cai'shi'fu'sheng 果菜始复生
'guo'ci'xi'suo'xu 过此奚所须
'guo'men'geng'xiang'hu 过门更相呼
'guo'zu'fei'suo'qin 过足非所钦
'hai'jiu'ju 还旧居
'hai'zuo'geng'zi'si 还坐更自思
'han'feng'fu'ku'tiao 寒风拂枯条
'han'hua'tu'zi'rong 寒华徒自荣
'han'nei'chang'zao'kang 寒馁常糟糠
'han'qi'mao'shan'ze 寒气冒山泽
'han'shu'ri'xiang'tui 寒暑日相推
'han'shu'you'dai'xie 寒暑有代谢
'han'xun'dai'qing'feng 含薰待清风
'han'ye'wu'bei'mian 寒夜无被眠
'han'yi'yu'shui'dai 寒衣欲谁待
'han'yun'mei'xi'shan 寒云没西山
'han'zhu'bei'huang'xi 寒竹被荒蹊
'hao'feng'yu'zhi'ju 好风与之俱
'hao'jue'wu'bu'rong 好爵吾不荣
'hao'sheng'xiang'he 好声相和
'hao'wei'zhi'yuan'kui 好味止园葵
'hao'yin'shi'jiao 好音时交
'hao'zhu'zheng'zheng'ying 豪主正怔营
'he'bi'gu'rou'qin 何必骨肉亲
'he'bi'sheng'hua'song 何必升华嵩
'he'chang'shi'xian'mo 何尝失显默
'he'feng'fu'qia 和风弗恰
'he'feng'qing'mu 和风清穆
'he'guo'zhu'bu'er'shou 和郭主簿二首
'he'hu'xi'cao'shi'gu'zei'cao 和胡西曹示顾贼曹
'he'liu'chai'sang 和刘柴桑
'he'ren'de'ling'zhang 何人得灵长
'he'shi'geng'neng'chang 何时更能尝
'he'shi'jian'yu'hui 何时见馀晖
'he'shi'kong'li'yan 何事空立言
'he'shi'xie'chen'ji 何事绁尘羁
'he'wei'fu'hu'yi 何为复狐疑
'he'yi'cheng'wo'qing 何以称我情
'he'yi'er'xian'qing 何意尔先倾
'he'yi'fei'gong'gun 何以废共鲧
'he'yi'wei'wu'huai 何以慰吾怀
'he'yi'xie'xin 何以写心
'he'yong'shen'hou'zhi 何用身后置
'he'you'bu'jian'zhu 何幽不见烛
'he'ze'nan'jiu 和泽难久
'he'ze'zhou'san'chun 和泽周三春
'he'zhou'wu'xu'yu 壑舟无须臾
'hen'bu'ji'zhou'mu 恨不及周穆
'heng'men'zhi'xia 衡门之下
'hong'ke'bai'wan'xun 洪柯百万寻
'hou'en'gu'nan'wang 厚恩固难忘
'hou'kui'wu'bu'chou 厚馈吾不酬
'hu'jiang'lao'jin'lin 壶浆劳近邻
