'ba'yue'dong'ting'qiu 八月洞庭秋
'ba'yue'hu'die'lai 八月蝴蝶来
'ba'yue'hu'shui'ping 八月湖水平
'ba'yue'qiu'gao'feng'nu'hao 八月秋高风怒号
'ba'yue'shi'ba'chao 八月十八潮
'ba'yue'shi'wu'ye 八月十五夜
'ba'yue'shi'wu'ye'zeng'zhang'gong'cao 八月十五夜赠张功曹
'ba'yue'shuo'ri 八月朔日
'ba'yue'xiao'guan'dao 八月萧关道
'ba'yue'zai'yu 八月在宇
'ba'yun'hu'xi'ni 巴云忽西匿
'ba'zhen'tu 八阵图
'ba'zhen'yun'kai'tun'hu'bao 八阵云开屯虎豹
'ba'zheng 八正
'ba'zheng'dao 八正道
'ba'zhu'hou 霸诸侯
'ba'zi'ya'men'xiang'nan'kai 八字衙门向南开
'ba'zong 把总
'bai'bao'zhai'tou'wei'jiao'yue 白豹寨头惟皎月
'bai'bi'qiu'chong'tan 败壁秋虫叹
'bai'bu'jiu'zhe'ying'yan'luan 百步九折萦岩峦
'bai'bu'yi'yin 百步一饮
'bai'cai'jie'du 百材皆度
'bai'can 白粲
'bai'cao'sa'sa'huang'yun'kai 白草飒飒黄云开
'bai'cao'zi'chang'piao'qi'lei 白草自长骠骑垒
'bai'chen'lang'zhong 拜臣郎中
'bai'cheng'zhi'jia'ye 百承之家也
'bai'er'shou'zhi 拜而受之
'bai'he'ling'luo 败荷零落
'bai'hong'chen'yi'ye'han'tao 败红趁一叶寒涛
'bai'hu'suo'guan'jun 百户所管军
'bai'hu'tong'yi 白虎通义
'bai'hu'tong'zhu 白虎通注
'bai'hua'man'jian'qun'chu 白花满湔裙处
'bai'hua'yuan'shang'wang'jing'shi 白花垣上望京师
'bai'jing'lou'shi'ji 拜经楼诗集
'bai'jiu'chuang'tou'chu'shu 白酒床头初熟
'bai'lao'guan 百牢关
'bai'ling'que'ge 白翎雀歌
'bai'ma'hao'ming'xiang'tian'bei 败马号鸣向天悲
'bai'mao'bao'zhi 白茅包之
'bai'mao'chun'shu 白茅纯束
'bai'mao'tang'ji 白茅堂集
'bai'mo'ci 百末词
'bai'nian'bei'xiao 百年悲笑
'bai'nian'chang'rao'rao 百年长扰扰
'bai'nian'cheng'zhi'bu'zu 百年成之不足
'bai'nian'dou'shi'ji'duo'shi 百年都是几多时
'bai'nian'duo'bing'du'deng'tai 百年多病独登台
'bai'nian'duo'shao'ping'gao'lei 百年多少凭高泪
'bai'nian'duo'shi'gong'shui'lun 百年多事共谁论
'bai'nian'er'hou'beng 百年而後崩
'bai'nian'feng'ri'ji'chong'yang 百年风日几重阳
'bai'nian'fu'lao'jian'yi'guan 百年父老见衣冠
'bai'nian'ge'zi'ku 百年歌自苦
'bai'nian'jin'shu'zhi'shui'xi 百年禁树知谁惜
'bai'nian'ju'shi'lin'yuan'yi 百年讵识临渊意
'bai'nian'ku'gu'que'nan'fan 百年枯骨却南返
'bai'nian'li'bie'zai'gao'lou 百年离别在高楼
'bai'nian'mo'guai'wu'pian'xian 百年魔怪舞翩跹
'bai'nian'pu'liu'xian'shuai 百年蒲柳先衰
'bai'nian'tian'di'zi'ru'guan 百年天地自儒冠
'bai'nian'xin'shi'liang'cuo'tuo 百年心事两蹉跎
'bai'ou'zuo'hua'xiang'man'hu 白藕作花香满湖
'bai'pian'cun 百篇存
'bai'ping'zhou'pan 白苹洲畔
'bai'se 拜色
'bai'shen'yi'qi'bei'jiang'xi 百神翳其备降兮
'bai'shi'ci 白石词
'bai'shi'dao'ren'shi 白石道人诗
'bai'shi'dao'ren'shi'ji 白石道人诗集
'bai'shi'hao'hao 白石皓皓
'bai'shi'sheng 白石生
'bai'shou'luo'hua'chun 拜手落花春
'bai'su'zhai'ji 白苏斋集
'bai'su'zhai'lei'ji 白苏斋类集
'bai'tang'zhou'pan'chang'li'qun 白蘯洲畔怅离群
'bai'wu'sheng'yan 百物生焉
'bai'wu'xian'jian 百武贤兼
'bai'xia 拜下
'bai'xiang'tong'chi'he'chong'wu 拜向彤墀贺重午
'bai'xin'yue 拜新月
'bai'xing 拜星
'bai'xing'yue 拜星月
'bai'xing'yue'man 拜星月慢
'bai'xu'qi'zhong 败絮其中
'bai'yi'sa'lei'dang'zu'lu 白衣洒泪当祖路
'bai'yi'shang'ping'zhu'lan'li 白衣裳凭朱阑立
'bai'ying'guan'zhang'xin'yu'sui 拜迎官长心欲碎
'bai'ying'zhang'guan'xin'yu'sui 拜迎长官心欲碎
'bai'you'cheng'xiang 拜右丞相
'bai'you'yu'nian'yi 百有余年矣
'bai'yu'ri'zong'heng 白羽日纵横
'bai'yu'ru'shuang'chu'sai'han 白羽如霜出塞寒
'bai'yue'ting 拜月亭
'bai'yue'yao'chuan'yi'ri'ping 百粤遥传一日平
'bai'zhan'fang'xiu'hai'shang'bing 百战方休海上兵
'bai'zhan'gu'cheng'xue'wei'gan 百战孤城血未干
'bai'zhan'hui'ge'di 百战回戈地
'bai'zhan'pi'lao'zhuang'shi'ai 百战疲劳壮士哀
'bai'zhan'quan'yan'di 百战全燕地
'bai'zhan'sha'chang'sui'tie'yi 百战沙场碎铁衣
'bai'zhan'shan'he'jian'luo'hui 百战山河见落晖
'bai'zhan'you'sui'liu'wu'wei 百战犹随刘武威
'bai'zhe'pin'pan'yuan 百折频攀援
'bai'zhe'qian'hui'xiang'dong'qu 百折千回向东去
'ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi 颁白者不负戴于道路矣
